"type","abstract","AB","title","author","doi","journal","link","M1","M2","tow","note","year","url","vol","access","endref","cond","nber_is_published","nber_in_ssrn"
"JOUR","Understanding the behavior of users online is important for researchers, policymakers, and private companies alike. But observing online behavior and conducting experiments is difficult without direct access to the user base and software of technology companies. We introduce Webmunk, an open-source tool designed to make conducting online studies much easier. The user-facing side of Webmunk is a browser extension that can track consumer browsing behavior and experimentally modify consumers experiences as they browse the Internet. It can be installed just like any other browser extension, such as ad blockers. Through this extension, researchers can collect a host of consumer data, from URLs to web page HTML elements, clicks, and scroll positions. The extension can also modify information and change the look of a web page, allowing for researchers to implement interventions that vary across study participants. A key advantage of this approach is that interventions occur while participants are engaging in real world activities such as shopping, browsing the news, using social media, or searching for information. We demonstrate the power of Webmunk by discussing two studies in progress.","B","webmunk: a new tool for studying online behavior and digital platforms","karr, chris","10.3386/w32694","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w32694.pdf",NA,NA,NA,"Author contact info: Chiara Farronato Harvard Business School Morgan Hall 427 Soldiers Field Boston, MA 02163 Tel: 617/495-6542 E-Mail: cfarronato@hbs.edu  Andrey Fradkin Questrom School of Business Boston University Rafik B. Hariri Building 595 Commonwealth Avenue  Boston, MA 02215 E-Mail: fradkin@bu.edu  Chris Karr E-Mail: chris@audacious-software.com",2024,"http://www.nber.org/papers/w32694","No. 32694","Jul-24",NA,TRUE,FALSE,FALSE
"JOUR","The United States criminal justice system is characterized by substantial disparities in outcomes across racial and ethnic groups. Understanding these disparities requires accurate measures of race and ethnicity of people involved in the justice system. We document how race and ethnicity are recorded by administrative agents and how operational concerns limit corrections to misreported race and ethnicity. To understand the impacts of these administrative processes, this paper uses novel linkages between person-level microdata from the Criminal Justice Administrative Records System (CJARS) and race and ethnicity composites from U.S. Census Bureau census and administrative records, mostly composed of self-reported or family-reported race/ethnicity, to quantify mismeasurement of race and ethnicity in the justice system. We find that 17 percent of misdemeanor and felony defendants and 10 percent of prison inmates have an agency-recorded label that does not concord with the composite measure, largely driven by justice agencies poorly measuring people identified in Census Bureau data as Hispanic, Asian, Pacific Islander, or American Indian and Alaska Native (AIAN). Using estimated correspondences between agency-recorded and the composite race and ethnicity, we reweight federal series on imprisonment rates and show that those series, which currently rely on small survey samples to impute racial and ethnic population shares, have substantially underestimated the incarceration rates of Whites, Blacks, and AIANs.","B","race and ethnicity (mis)measurement in the u.s. criminal justice system","mueller-smith, michael g","10.3386/w32657","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w32657.pdf",NA,NA,"presented at ""CRIW Race, Ethnicity, and Economic Statistics for the 21st Century"", March 14-15, 2024","Author contact info: Keith Finlay U.S. Census Bureau 4600 Silver Hill Road Washington, DC 20233 United States Tel: 3017636056 E-Mail: keith.ferguson.finlay@census.gov  Elizabeth Luh E-Mail: eluh@uh.edu  Michael G. Mueller-Smith Department of Economics University of Michigan 365C Lorch Hall 611 Tappan Ave. Ann Arbor, MI 48109-1220 Tel: 410/218-3189 E-Mail: mgms@umich.edu",2024,"http://www.nber.org/papers/w32657","No. 32657","Jul-24",NA,TRUE,FALSE,FALSE
"JOUR","Despite its promise to help low-wealth households manage climate risk, index insurance remains hampered by downside basis risk, meaning that an insured party suffers a loss, but receives no payment because the insurance index fails to register a loss. While efforts to reduce basis risk focus on the creation of indices that better predict losses, this paper focuses on the creation of statistically rigorous insurance zones that minimize downside basis risk. In contrast to our approach, most existing index insurance contracts use statistically ad hoc administrative boundaries to demarcate insurance zones. To improve on this practice, we develop a machine learning algorithm that forms zones to maximizes lower tail dependence within the zone. After exploring the logic for using lower tail dependence, we apply our algorithm to the long-running index-based livestock insurance contract in Northern Kenya. We show that compared to the currently employed administrative insurance areas, our algorithm creates an insurance contract that increases the expected utility value of the insurance by 60-200% even when keeping the number of zones the same. Optimizing the number of zones using our method can further increase the economic value of index insurance to its beneficiaries.","B","breaking boundaries: lower tail dependence can triple the economic value of index insurance for rural households","escribano, álvaro","10.3386/w32618","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w32618.pdf",NA,NA,NA,"Author contact info: Enrique Estefania-Salazar Research Centre for the Management of Agricultural and Environmental Risks (CEIGRAM)  Universidad Politécnica de Madrid Madrid, 28040 Spain E-Mail: enrique.esalazar@upm.es  Michael Carter Department of Agricultural and Resource Economics University of California, Davis One Shields Avenue Davis, CA 95616 Tel: 530/752-4672 Fax: 530/752-5614 E-Mail: mrcarter@ucdavis.edu  Eva Iglesias Research Centre for the Management of Agricultural and Environmental Risks (CEIGRAM)  Universidad Politécnica de Madrid Madrid, 28040 Spain E-Mail: eva.iglesias@upm.es  Álvaro Escribano Department of Economics Universidad Carlos III de Madrid Getafe, 28093 Spain E-Mail: alvaro.escribano@uc3m.es",2024,"http://www.nber.org/papers/w32618","No. 32618","Jun-24",NA,TRUE,FALSE,FALSE
"JOUR","Over the past two decades, respondents to the Shiller Investor Confidence Surveys assess the probability of a catastrophic stock market crash to be much higher that the historical frequency of such events. We decompose these crash probabilities into fundamental and subjective components and use a large language model to estimate the emotional content of respondent narratives. The subjective crash component is strongly associated with high negative affect.   We use respondent location to test how news of unusual exogenous shocks affects crash belief formation. The results are consistent the risk-as-feelings hypothesis and suggest a path by which emotional response to news about salient events may play a role in the scale and variation in investor beliefs about rare disasters.","B","emotions and subjective crash beliefs","shiller, robert j","10.3386/w32589","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w32589.pdf",NA,NA,"presented at ""Big Data and High-Performance Computing for Financial Economics"", July 13, 2024","Author contact info: William N. Goetzmann School of Management Yale University Box 208200 New Haven, CT 06520-8200 Tel: 203/432-5950 Fax: 203/432-3003 E-Mail: william.goetzmann@yale.edu  Dasol Kim 717 14th Street NW Washington D.C., D.C. 20005 United States Tel: 2037104213 E-Mail: dasol.kim@ofr.treasury.gov  Robert J. Shiller Yale University, Cowles Foundation Box 208281 30 Hillhouse Avenue New Haven, CT  06520-8281 Tel: 203/432-3708 Fax: 203/432-6167 E-Mail: robert.shiller@yale.edu",2024,"http://www.nber.org/papers/w32589","No. 32589","Jun-24",NA,TRUE,FALSE,FALSE
"JOUR","Do stronger intellectual property rights incentivize female participation in innovation? We provide new evidence on this question using a unique database of artificial intelligence patents publicly shared by the USPTO. Our identification strategy leverages China’s WTO TRIPs accession, which led to stronger intellectual property rights in 2002. We find a significant rise in the number of female inventors and an increase in the number of patents with females on inventor teams vis-a-vis a control group of countries. We also find that after stronger intellectual property rights, the quality of Chinese artificial intelligence patents with female inventors on the team improved. Results are robust controlling for unobserved heterogeneity at the country, technology class, and over time. Additional robustness tests with synthetic controls, coarsened exact matching, randomized inference and alternative control groups support our benchmark findings. Our results highlight that stronger intellectual property rights can be helpful in improving gender division of labor thereby benefiting society and innovation.","B","do stronger ipr incentivize female participation in innovation? evidence from chinese ai patents","higgins, matthew j","10.3386/w32547","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w32547.pdf",NA,NA,NA,"Author contact info: Shubhangi Agrawal University of Edinburgh Department of Economics United Kingdom E-Mail: sagrawal@ed.ac.uk  Sawan Rathi University of Sussex Science Policy Research Unit (SPRU) United Kingdom E-Mail: s.rathi@sussex.ac.uk  Chirantan Chatterjee University of Sussex Business School UK E-Mail: c.chatterjee@sussex.ac.uk  Matthew J. Higgins David Eccles School of Business University of Utah 1731 E Campus Center Drive Salt Lake City, UT 84112 E-Mail: matt.higgins@eccles.utah.edu",2024,"http://www.nber.org/papers/w32547","No. 32547","Jun-24",NA,TRUE,FALSE,FALSE
"JOUR","We study fraud in the unemployment insurance (UI) system using a dataset of 35 million debit card transactions. We apply machine learning techniques to cluster cards corresponding to varying levels of suspicious or potentially fraudulent activity. We then conduct a difference-in-differences analysis based on the staggered adoption of state-level identity verification systems between 2020 and 2021 to assess the effectiveness of screening for reducing fraud. Our findings suggest that identity verification reduced payouts to suspicious cards by 27%, while non-suspicious cards were largely unaffected by these technologies. Our results indicate that identity screening may be an effective mechanism for mitigating fraud in the UI system and for benefits programs more broadly.","B","unemployment insurance fraud in the debit card market","zhou, yunrong","10.3386/w32527","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w32527.pdf",NA,NA,"presented at ""Innovative Data in Household Finance: Opportunities and Challenges"", December 8, 2023","Author contact info: Umang Khetan S217, Tippie College of Business E Market St Iowa City, Iowa 52242 United States E-Mail: umang-khetan@uiowa.edu  Jetson Leder-Luis Questrom School of Business Boston University 595 Commonwealth Avenue Boston, MA 02215 Tel: 914/844-9457 E-Mail: jetson@bu.edu  Jialan Wang Department of Finance University of Illinois Urbana-Champaign 340 Wohlers Hall 1206 S. Sixth Street MC-706 Urbana, IL 61820 Tel: 217/300-4697 E-Mail: jialanw@gmail.com  Yunrong Zhou 403 W State St West Lafayette, IN 47906 United States E-Mail: zhou1181@purdue.edu",2024,"http://www.nber.org/papers/w32527","No. 32527","May-24",NA,TRUE,FALSE,FALSE
"JOUR","Drawing insights from the field of innovation economics, we discuss the likely competitive environment shaping generative AI advances. Central to our analysis are the concepts of appropriability—whether firms in the industry are able to control the knowledge generated by their innovations—and complementary assets—whether effective entry requires access to specialized infrastructure and capabilities to which incumbent firms can ration access. While the rapid improvements in AI foundation models promise transformative impacts across broad sectors of the economy, we argue that tight control over complementary assets will likely result in a concentrated market structure, as in past episodes of technological upheaval. We suggest the likely paths through which incumbent firms may restrict entry, confining newcomers to subordinate roles and stifling broad sectoral innovation. We conclude with speculations regarding how this oligopolistic future might be averted. Policy interventions aimed at fractionalizing or facilitating shared access to complementary assets might help preserve competition and incentives for extending the generative AI frontier. Ironically, the best hopes for a vibrant open source AI ecosystem might rest on the presence of a “rogue” technology giant, who might choose openness and engagement with smaller firms as a strategic weapon wielded against other incumbents.","A","old moats for new models: openness, control, and competition in generative ai","nagaraj, abhishek","10.3386/w32474","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w32474.pdf","published as Pierre Azoulay, Joshua Krieger, Abhishek Nagaraj. ""Old Moats for New Models: Openness, Control, and Competition in Generative AI,"" in Benjamin Jones and Josh Lerner, editors, ""Entrepreneurship and Innovation Policy and the Economy, volume 4"" University of Chicago Press (2024)",NA,"presented at ""NBER Entrepreneurship and Innovation Policy and the Economy Conference"", May 1, 2024","Author contact info: Pierre Azoulay MIT Sloan School of Management 100 Main Street, E62-487 Cambridge, MA 02142 Tel: 617/258-9766 Fax: 617/253-2660 E-Mail: pazoulay@mit.edu  Joshua L. Krieger Harvard Business School  Rock 213 Boston, MA 02163 Tel: 7818833737 E-Mail: jkrieger@hbs.edu  Abhishek Nagaraj Haas School of Business University of California, Berkeley 2220 Piedmont Ave Berkeley, CA 94720 E-Mail: nagaraj@berkeley.edu",2024,"http://www.nber.org/papers/w32474","No. 32474","May-24",NA,TRUE,FALSE,FALSE
"JOUR","Whether police misconduct can be prevented depends partly on whether it can be predicted. We show police misconduct is partially predictable and that estimated misconduct risk is not simply an artifact of measurement error or a proxy for officer activity. We also show many officers at risk of on-duty misconduct have elevated off-duty risk too, suggesting a potential link between accountability and officer wellness. We show that targeting preventive interventions even with a simple prediction model – number of past complaints, which is not as predictive as machine learning but lower-cost to deploy – has marginal value of public funds of infinity.","B","predicting police misconduct","ludwig, jens","10.3386/w32432","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w32432.pdf",NA,NA,NA,"Author contact info: Greg Stoddard University of Chicago Crime Lab 190 S. LaSalle, Suite 2600 Chicago, IL 60603 E-Mail: gstoddard@uchicago.edu  Dylan J. Fitzpatrick University of Chicago Crime Lab 190 S. LaSalle, Suite 2600 Chicago, IL 60603 E-Mail: djfitzpa@uchicago.edu  Jens Ludwig Harris School of Public Policy University of Chicago 1307 East 60th Street Chicago, IL 60637 Tel: 773/834-0811 E-Mail: jludwig@uchicago.edu",2024,"http://www.nber.org/papers/w32432","No. 32432","May-24",NA,TRUE,FALSE,FALSE
"JOUR","How will the emergence of ChatGPT and other forms of artificial intelligence (AI) affect the skill premium? To address this question, we propose a nested constant elasticity of substitution production function that distinguishes among three types of capital: traditional physical capital (machines, assembly lines), industrial robots, and AI. Following the literature, we assume that industrial robots predominantly substitute for low-skill workers, whereas AI mainly helps to perform the tasks of high-skill workers. We show that AI reduces the skill premium as long as it is more substitutable for high-skill workers than low-skill workers are for high-skill workers.","A","artificial intelligence and the skill premium","veruete, mario","10.3386/w32430","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w32430.pdf",NA,NA,NA,"Author contact info: David E. Bloom Harvard T.H. Chan School of Public Health Department of Global Health and Population 665 Huntington Ave. Building 1, Suite 1202 Boston, MA 02115 Tel: 617/432-0866 Fax: 617/432-6733 E-Mail: dbloom@hsph.harvard.edu  Klaus Prettner Vienna University of Economics  and Business (WU)   Department of Economics   Welthandelsplatz 1    1020 Vienna Austria E-Mail: klaus.prettner@wu.ac.at  Jamel Saadaoui 46 Avenue de la Foret Noire Strasbourg 67000 France E-Mail: jamelsaadaoui@gmail.com  Mario Veruete E-Mail: veruete.mario@quantum-datalab.com",2024,"http://www.nber.org/papers/w32430","No. 32430","May-24",NA,TRUE,FALSE,FALSE
"JOUR","Machine learning algorithms can find predictive signals that researchers fail to notice; yet they are notoriously hard-to-interpret. How can we extract theoretical insights from these black boxes? History provides a clue. Facing a similar problem – how to extract theoretical insights from their intuitions – researchers often turned to “anomalies:” constructed examples that highlight flaws in an existing theory and spur the development of new ones. Canonical examples include the Allais paradox and the Kahneman-Tversky choice experiments for expected utility theory. We suggest anomalies can extract theoretical insights from black box predictive algorithms. We develop procedures to automatically generate anomalies for an existing theory when given a predictive algorithm. We cast anomaly generation as an adversarial game between a theory and a falsifier, the solutions to which are anomalies: instances where the black box algorithm predicts - were we to collect data - we would likely observe violations of the theory. As an illustration, we generate anomalies for expected utility theory using a large, publicly available dataset on real lottery choices. Based on an estimated neural network that predicts lottery choices, our procedures recover known anomalies and discover new ones for expected utility theory. In incentivized experiments, subjects violate expected utility theory on these algorithmically generated anomalies; moreover, the violation rates are similar to observed rates for the Allais paradox and Common ratio effect.","B","from predictive algorithms to automatic generation of anomalies","rambachan, ashesh","10.3386/w32422","National Bureau of Economic Research Working Paper Series","http://www.nber.org/papers/w32422.pdf",NA,NA,"presented at ""SI 2023 Digital Economics and Artificial Intelligence"", July 19-21, 2023","Author contact info: Sendhil Mullainathan Booth School of Business University of Chicago 5807 South Woodlawn Avenue Chicago, IL 60637 Tel: 773/834-2353 E-Mail: sendhil.mullainathan@gmail.com  Ashesh Rambachan Department of Economics MIT Cambridge, MA E-Mail: asheshr@mit.edu",2024,"http://www.nber.org/papers/w32422","No. 32422","May-24",NA,TRUE,FALSE,FALSE
