Abstract,Topic,DOI,GPT_response,GPT_class,Input_tokens,Output_tokens,reason_stop,system_fingerprint
"Fostering innovation is one of the key roles of the Circular Economy (CE) that applies also to European Union (EU) firms, because entrepreneurs are persistently seeking new ways and means to create values, contributing with significant market opportunities, and depicting large potential for EU sustainable growth. This study explores the effects of firms’ investments in using highly disruptive technologies in the energy sector on the Eurozone (EU-27) in the last two decades (1990–2019). An Artificial Neural Networks (ANNs) experiment through a Deep Learning (DL) approach is implemented to test this hypothesis. The empirical findings show that investments in highly disruptive technologies, especially by large digitally qualified companies, boost economic growth. They are also a crucial driver of digitalization not only because they enhance a wide strategic change implying a radical innovation in business models, but they completely transform markets, from energy to food production, water resources, pollution, connectivity, and plastic waste. These expected benefits represent a possible policy measure to offset the decline in global activity due to the impact of the Russia-Ukraine war on global energy markets. In addition, a positive association between trade and output is confirmed. Finally, promising policy actions are discussed. © 2024",-1,10.1016/j.jeca.2024.e00372,"This study examines the effects of investments in disruptive technologies on economic growth in the Eurozone, utilizing an Artificial Neural Networks (ANNs) approach. It focuses on how these technologies drive digitalization and innovation in various sectors. Since it analyzes the impact of AI and disruptive technologies on economic outcomes, it falls under category A. Class: A",A,1420,67,stop,fp_0ba0d124f1
"This paper examines and finds that the answer is likely to be no. The environment examined starts with users who contribute based on their motives to create a public good. Their own actions determine the quality of that public good but also embed a free-rider problem. When AI is trained on that data, it can generate similar contributions to the public good. It is shown that this increases the incentive of human users to provide contributions that are more costly to supply. Thus, the overall quality of contributions from both AI and humans rises compared to human-only contributions. In situations where platform providers want to generate more contributions using explicit incentives, the rate of return on such incentives is shown to be lower in this environment. © 2024 The Author(s)",-1,10.1016/j.econlet.2024.111868,"This paper explores the interaction between AI-generated contributions and human contributions to a public good, focusing on the free-rider problem. It finds that AI can enhance the quality of contributions, suggesting a positive impact of AI on public goods. Since it analyzes the impact of AI on human behavior and contribution quality, it falls into category A. Class: A",A,1321,69,stop,fp_0ba0d124f1
"In strategic and radical innovation, the degree of uncertainty and the amount of complexity is much higher compared to ‘business as usual’. Therefore, idea management systems are often used to support such innovation processes. An interesting question is what we can learn from studying data in such idea management systems and what potential implications we can derive from the innovation management literature. In this study, we were allowed to access and analyze data from the same idea management system used in 11 radical innovation projects from the years 2012–2018. Our analysis unravels 8 findings that in different ways nuance or challenge current research on innovation management. Finally, we discuss how the integration of artificial intelligence (AI) in idea management systems can support innovation team members in increasing the innovation potential of the ideas that are elaborated. © 2024, The Author(s).",-1,10.1186/s13731-024-00368-6,This paper analyzes data from idea management systems used in radical innovation projects to derive insights for innovation management literature. It discusses the potential role of AI in enhancing these systems to support innovation. The focus on analyzing the impact of AI integration in innovation processes qualifies it for category A. Class: A,A,1342,57,stop,fp_0ba0d124f1
"The deep integration of artificial intelligence (AI) into enterprises presents both opportunities and challenges, making it a focal point of current research. This study explores the impact of AI on corporate risk-taking, using data spanning 2010–2019 from A-share listed companies in China. Our findings suggest that AI significantly heightens companies’ level of risk-taking. Furthermore, financing constraints can amplify the relationship between AI and risk-taking, enhancing their sensitivity correlation. AI also significantly improves firms’ investment efficiency and mitigates their underinvestment issues. Finally, mediation tests indicate that AI enhances risk-taking by diminishing firms’ risk perception. Overall, we offer valuable insights into and references for accelerating the deep integration of AI into enterprises. © 2024 Sun Yat-sen University",-1,10.1016/j.cjar.2024.100372,"This paper examines the impact of AI on corporate risk-taking using data from A-share listed companies in China. It finds that AI increases risk-taking and improves investment efficiency while reducing underinvestment issues. The study highlights the relationship between AI and risk perception, indicating a significant economic impact of AI on corporate behavior, which qualifies it for category A. Class: A",A,1325,70,stop,fp_0ba0d124f1
"Artificial intelligence (AI) technology has significantly transformed corporate behavior in the energy sector by enhancing the capacity and efficiency of information transmission and big data analysis. However, there is still a limited understanding of how AI influences new market entry mode strategies in overseas energy investments. Drawing on information processing theory, we propose that firms with advanced AI technology exhibit superior data processing capabilities, which can help energy companies mitigate the uncertainties associated with entering a foreign market and encourage them to choose a wholly-owned entry mode. We further hypothesize that the state ownership of firms, the political affinity between home and host countries, and the risk preferences of firm executives serve as moderating factors. Using a sample of Chinese-listed multinational firms in the energy sector from 2010 to 2021, our empirical results strongly support these predictions. These findings contribute to the emerging and crucial literature on the impact of AI technology on firms’ overseas investment behavior, particularly in the energy sector. © 2024 The Author(s)",-1,10.1016/j.jik.2024.100518,"This paper examines how AI technology influences market entry strategies for energy companies in foreign investments, focusing on data processing capabilities and their impact on risk mitigation. It uses empirical data from Chinese multinational firms to support its hypotheses. Since it analyzes the impact of AI on corporate behavior and investment strategies, it falls into category A. Class: A",A,1368,65,stop,fp_0ba0d124f1
"Using the BERT large language model and extensive textual data, this paper measures the alignment between firm achievements and government development goals. We prove that firms aligning closely with national goals are more favorably valued in the capital market. Our results offer valuable insights for policymakers and corporate leaders in strategy optimization within complex macroeconomic environments. © 2024 Elsevier B.V.",-1,10.1016/j.econlet.2024.111823,"This paper employs the BERT model to measure the alignment between firm achievements and government development goals, demonstrating that such alignment positively influences capital market valuation. The focus is on assessing the impact of AI (BERT) on economic outcomes, which qualifies it for category A. Class: A",A,1246,56,stop,fp_0ba0d124f1
"This study uses transaction cost economics theory to explain the interplay of artificial intelligence readiness, frugal innovation, and business model innovation to achieve SMEs’ internationalization objectives. A survey is conducted among SMEs using cluster sampling to determine their readiness for artificial intelligence adoption. The results are analyzed using Smart PLS 4.1 software. The study explored the mediating role of business model innovation and artificial intelligence's moderating role in promoting business model innovation and SMEs’ internationalization, respectively. Finally, the authors performed a necessary conditions analysis to identify the necessary conditions for SME internationalisation. The study has contextual implications for stakeholders and policymakers of an oil-rich nation. © 2024 The Authors",-1,10.1016/j.joitmc.2024.100326,"This study examines the relationship between AI readiness, frugal innovation, and business model innovation in the context of SMEs' internationalization. It employs transaction cost economics theory and uses survey data analyzed with Smart PLS software. The focus is on how AI influences business model innovation and internationalization, placing it in category A. Class: A",A,1309,66,stop,fp_0ba0d124f1
"This study investigates digital transformation and the usability of emerging technologies in policymaking. Prior studies categorised digital transformation into three distinct phases of digitisation, digitalisation, and digital transformation. They mainly focus on the operational or functional levels, however, this study considers digital transformation at the strategic level. Previous studies confirmed that using new emerging AI-based technologies will enable organisations to use digital transformation to achieve higher efficiency. A novel methodological AI-based approach for policymaking was constructed into three phases through the lens of organisational learning theory. The proposed framework was validated using a case study in the transportation industry of a small municipality. In the selected case study, a confirmatory model was developed and tested utilising the Structural Equation Modelling with data collected from a survey of 494 local stakeholders. Artificial Neural Network was utilised to predict and then to identify the most appropriate policy according to cost, feasibility, and impact criteria amongst six policies extracted from the literature. The results from this research confirm that utilisation of the AI-based strategic decision-making through the proposed generative AI platform at strategic level outperforms human decision-making in terms of applicability, efficiency, and accuracy. © 2024 The Authors",-1,10.1016/j.ijpe.2024.109324,"This study examines digital transformation in policymaking, focusing on the strategic level and utilizing AI-based technologies. It develops a framework validated through a case study and employs AI methods, including Artificial Neural Networks, to enhance decision-making efficiency and accuracy. The paper primarily analyzes the impact of AI on strategic policymaking, placing it in category A. Class: A",A,1406,69,stop,fp_0ba0d124f1
"This study aims to investigate the impact of Artificial Intelligence (AI) adoption on public service delivery efficiency in India. It addresses a significant gap in existing literature by investigating the impact of AI adoption on public service delivery efficiency in India, a context that has not been extensively explored. Through a comparative analysis approach, the study assesses the effectiveness of AI applications in enhancing public service delivery. The quantitative research design employed in the study draws on previous literature on AI integration in governance and focuses on Chief Information Officers (CIOs) as primary respondents. The findings reveal significant improvements in citizen-centric services and municipal processes due to AI adoption. However, the impact on human-centric aspects is found to be moderate. The study also underscores the importance of infrastructure readiness for successful AI implementation. Notably, only 25 % of organizations were found to be possessing advanced technological infrastructure. This research is original in its focus on Chief Information Officers (CIOs) as primary respondents and its comparative analysis approach to assess the effectiveness of AI applications in enhancing public service delivery. This study offers valuable insights for policymakers and practitioners. Emphasizing the need for effective policies and infrastructure development, it highlights the potential of AI to eliminate corruption risks and enhance overall efficiency and transparency in public service delivery mechanisms. © 2024 The Authors",-1,10.1016/j.joitmc.2024.100329,"This study examines the impact of AI adoption on public service delivery efficiency in India, using a comparative analysis approach and focusing on Chief Information Officers (CIOs) as respondents. It finds significant improvements in citizen-centric services due to AI, addressing a gap in the literature. Since it measures the impact of AI on public service efficiency, it falls into category A. Class: A",A,1430,75,stop,fp_0ba0d124f1
"In the digital economy era, artificial intelligence (AI) has advanced significantly and promoted productivity and productive service agglomeration. Using data on the productive service industry and AI in 27 provinces in China from 2006 to 2019, we investigated the influence of AI on productive services, and its direction and magnitude. We found that AI can promote the agglomeration of productive services directly or by enhancing productivity, and further analyzed the regional heterogeneity of the influence and mechanism. © 2024 Elsevier Inc.",-1,10.1016/j.iref.2024.103408,"This paper examines the influence of AI on the agglomeration of productive services in China, utilizing data from 2006 to 2019. It focuses on measuring the impact of AI on productivity and service agglomeration, which qualifies it for category A. Class: A",A,1278,55,stop,fp_0ba0d124f1
