Abstract,Topic,DOI,GPT_response,GPT_class,Input_tokens,Output_tokens,reason_stop,system_fingerprint
"Artificial Intelligence (AI) has grown dramatically over the past few decades and has much greater influence today on human performance in every walk of life. AI is great for accelerating our work, but there are also downsides to it. One such downside is the application of Facial Recognition Technologies (FRT) available today, which has adverse consequences like racial discrimination or wrongful judgement by commercial firms and even law enforcement organizations. The landmark 'Gender Shades' project [1] in 2018 showed a highly skewed error bar between facial recognition accuracies of subjects who are black females compared to white males using an intersectional comparison approach between facial recognition software by IBM, Microsoft and Face++. This supplemented previous studies which highlighted issues with gender classification or on the whole misidentification issues posed by facial recognition technologies (FRT) [2]. This algorithm bias towards misgendering or misclassification based on skin color could be attributed to a highly unbalanced training datasets that lack diversity as well as a lack of understanding of the black box machine learning (ML) models that are used to build the FRTs. From a Code of Ethics perspective, such algorithms do not conform to the fundamental canons [3] such as prioritizing the safety, and welfare of the public. Furthermore, they cannot be used honorably, responsibly and ethically to enhance the reputation, and usefulness of the companies promoting these technologies because they are unable to provide truthful and objective information regarding facial recognition. A possible remedy could be to curate an exhaustively diverse dataset w.r.t both color and gender. However, the task of building such a dataset would require access to a diverse population, which is not always possible in a multi-racial and multi-ethnic society. We thus propose an exhaustive review-based study of existing work on the introduction of explainable AI [4],[5] (XAI) techniques in such ML models to understand how the model itself learns. This study would explore what constraints to put on the learning method of the model, which can enforce reduction in misclassification errors from gender and skin color thus enforcing various ethical aspects like taking care of algorithm bias, introducing transparency and accountability. It would also explore and underline the overall social impact improved FRTs might have from a code of ethics perspective.  © 2024 IEEE.",16,10.1109/SIEDS61124.2024.10534745,"This paper discusses the adverse effects of facial recognition technologies (FRT) on racial and gender discrimination, highlighting biases in algorithmic predictions due to unbalanced training datasets. It proposes a review of existing work on explainable AI (XAI) techniques to understand and mitigate these biases, emphasizing ethical considerations and social impacts. The focus on analyzing the implications of AI on fairness and ethical outcomes within an economic context aligns it with Class A. Class: A",A,1811,89,stop,fp_0ba0d124f1
"Artificial intelligence (AI) has had a significant impact on several sectors and fields. Failure Modes and Effects Analysis (FMEA) is a powerful risk management and prevention tool that can help companies identify and address any weaknesses in their practices. The Risk Priority Number (RPN) approach has been criticized for its flaws since it calculates the product of severity, occurrence, and detection ratings of threats. By considering a variety of criteria and aspects, and by thoughtfully and carefully combining expert perspectives, the proposed FMEA model may more accurately evaluate the risks associated with AI in Education. Picture Fuzzy Sets (PFSs) and Grey Relational Analysis-TOPSIS (GRA-TOPSIS) are combined to achieve this. The goal of this research is to use an updated FMEA model to assess and rank the risk hierarchy of the seven identified hazards. According to the data, algorithmic risk is the most significant issue that requires urgent attention. Relevant constraints and suggestions are also provided to encourage research on the dangers of AI in Education. Suggestions include creating a national or international regulatory authority to control the use of artificial intelligence in education, promoting the use of the FMEA technique as a common framework for assessing the risks connected to AI in Education. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",16,10.1080/00036846.2024.2321835,"This paper focuses on improving the Failure Modes and Effects Analysis (FMEA) model to assess risks associated with AI in education. It critiques the traditional Risk Priority Number (RPN) approach and proposes a new model using Picture Fuzzy Sets and Grey Relational Analysis-TOPSIS. The emphasis is on risk assessment and management rather than analyzing the ethical implications of AI in an economic context. Therefore, it should be classified as Class B. Class: B",B,1610,89,stop,fp_0ba0d124f1
"The article addresses the issue that is widely discussed in Germany and other jurisdictions: can the management of a company use AI applications in its decision-making process without violating its fiduciary duties? The lack of transparency in conventional AI applications conflicts with the fiduciary duty to check the plausibility of external expert advice (in Germany known as the ISION principles). This tension can be partly resolved by using explainable AI (XAI). In this work, we review the basic principles of machine learning and XAI and discuss them in the legal context. © 2023 Walter de Gruyter GmbH. All rights reserved.",16,10.1515/ecfr-2023-0033,"This paper explores the intersection of AI applications and fiduciary duties in corporate decision-making, particularly focusing on the transparency issues associated with conventional AI. It discusses how explainable AI (XAI) can help resolve these tensions within a legal framework. The analysis of AI's implications for ethical and legal responsibilities in management aligns it with economic decision-making contexts. Class: A",A,1474,72,stop,fp_0ba0d124f1
"As AI has a wide range of influence on human social life, issues of transparency and ethics of AI are emerging. In particular, it is widely known that due to the existence of historical bias in data against ethics or regulatory frameworks for fairness, trained AI models based on such biased data could also impose bias or unfairness against a certain sensitive group (e.g., non-white, women). Demographic disparities due to AI, which refer to socially unacceptable bias that an AI model favors certain groups (e.g., white, men) over other groups (e.g., black, women), have been observed frequently in many applications of AI and many studies have been done recently to develop AI algorithms which remove or alleviate such demographic disparities in trained AI models. In this paper, we consider a problem of using the information in the sensitive variable for fair prediction when using the sensitive variable as a part of input variables is prohibitive by laws or regulations to avoid unfairness. As a way of reflecting the information in the sensitive variable to prediction, we consider a two-stage procedure. First, the sensitive variable is fully included in the learning phase to have a prediction model depending on the sensitive variable, and then an imputed sensitive variable is used in the prediction phase. The aim of this paper is to evaluate this procedure by analyzing several benchmark datasets. We illustrate that using an imputed sensitive variable is helpful to improve prediction accuracies without hampering the degree of fairness much. © 2022. The Korean Statistical Society, and Korean International Statistical Society. All rights reserved.",16,10.29220/CSAM.2022.29.2.251,This paper addresses the issue of demographic disparities in AI predictions due to historical bias in data. It proposes a two-stage procedure to incorporate sensitive variables in a way that complies with legal and ethical standards while still improving prediction accuracy. The focus on evaluating the fairness and ethical implications of AI aligns it with economic outcomes. Class: A,A,1660,64,stop,fp_0ba0d124f1
"Robo-advisors (RAs) support economic decisions for customers using artificial intelligence (AI). RAs are gaining increasing significance but lack market penetration. A significant issue is the perceived low transparency of such AI systems. This study examines the public’s demands on RAs with text-mining methods from the perspective of explainable artificial intelligence (XAI). The results reveal understandability and trustworthiness issues for each of the RA use phases (configuration, matching, and maintenance). In particular, five barriers emerge in RA if information needs remain unanswered: entry barrier, assessment barrier, evaluation barrier, continuation barrier and withdrawal barrier. The barriers can be mitigated by combining explanation, design and communication measures. The results are discussed regarding theoretical implications and practical recommendations for facilitating the adoption of RAs. JEL: D8 (D81, D83, D89), G1 (G11), G2 (G20, G23), G4 (G41), I2 (I24, I25), O3 (O31, O33) © 2022 The Author(s).",16,10.1177/02601079221130183,"This paper focuses on the transparency issues surrounding robo-advisors (RAs) and how these affect public trust and adoption. It employs text-mining methods to identify barriers to understanding and trust in RAs, proposing measures to enhance explainability and communication. While it discusses the implications of AI in economic decision-making, it primarily addresses methods to improve transparency rather than analyzing the impacts of AI on fairness or ethical outcomes. Thus, it should be classified as Class B. Class: B",B,1570,96,stop,fp_0ba0d124f1
"Though companies are building artificial intelligence (AI) systems and integrating them into business operations, executives are concerned about AI’s distinctive challenges (e.g., opacity) and seeking to develop new capabilities in response. We describe a new AIX explanation capability that companies must establish before their AI initiatives can thrive. This capability has four dimensions: decision tracing, bias remediation, boundary setting and value formulation. Together, these dimensions help organizations to address the challenges of model opacity, model drift, acting mindlessly and the unproven nature of AI © 2022. University of Minnesota",16,10.17705/2msqe.00063,"This paper discusses the challenges companies face when integrating AI into their operations, particularly focusing on the need for a new explanation capability (AIX) to address issues like opacity and bias. It outlines four dimensions of this capability that organizations should develop to enhance their AI initiatives. Since the paper proposes a method for mitigating challenges rather than analyzing the impacts of AI on fairness or ethical outcomes, it should be classified as Class B. Class: B",B,1464,86,stop,fp_0ba0d124f1
"The black-box nature of Artificial Intelligence (AI) models and their associated explainability limitations create a major adoption barrier. Explainable Artificial Intelligence (XAI) aims to make AI models more transparent to address this challenge. Researchers and practitioners apply XAI services to explore relationships in data, improve AI methods, justify AI decisions, and control AI technologies with the goals to improve knowledge about AI and address user needs. The market volume of XAI services has grown significantly. As a result, trustworthiness, reliability, transferability, fairness, and accessibility are required capabilities of XAI for a range of relevant stakeholders, including managers, regulators, users of XAI models, developers, and consumers. We contribute to theory and practice by deducing XAI archetypes and developing a user-centric decision support framework to identify the XAI services most suitable for the requirements of relevant stakeholders. Our decision tree is founded on a literature-based morphological box and a classification of real-world XAI services. Finally, we discussed archetypical business models of XAI services and exemplary use cases. © 2022, The Author(s).",16,10.1007/s12525-022-00603-6,"This paper focuses on the challenges of AI adoption due to the black-box nature of AI models and the need for explainability. It proposes a user-centric decision support framework for selecting suitable explainable AI (XAI) services, emphasizing the importance of trustworthiness and fairness for various stakeholders. While it addresses the need for fairness in AI, it primarily focuses on developing a framework rather than analyzing the impacts of AI on fairness or ethical outcomes. Thus, it should be classified as Class B. Class: B",B,1572,100,stop,fp_0ba0d124f1
"We make two contributions to understanding the role of algorithms in regulatory enforcement. First, we illustrate how big-data analytics can inadvertently import private biases into public policy. We show that a much-hyped use of predictive analytics – using consumer data to target food-safety enforcement – can disproportionately harm Asian establishments. Second, we study a solution by Pope and Sydnor (2011), which aims to debias predictors via marginalization, while still using information of contested predictors. We find the solution may be limited when protected groups have distinct predictor distributions, due to model extrapolation. Common machine-learning techniques heighten these problems. © 2018 Mohr Siebeck.",16,10.1628/jite-2019-0001,"This paper examines the unintended consequences of using big-data analytics in regulatory enforcement, specifically how predictive analytics can perpetuate biases against certain demographic groups, such as Asian establishments in food safety enforcement. It also evaluates a proposed solution to mitigate these biases through debiasing techniques. The focus on the implications of algorithmic bias and its effects on fairness within a regulatory context aligns it with Class A. Class: A",A,1482,80,stop,fp_0ba0d124f1
"Artificial intelligence (AI) is pervading the government and transforming how public services are provided to consumers across policy areas spanning allocation of government benefits, law enforcement, risk monitoring, and the provision of services. Despite technological improvements, AI systems are fallible and may err. How do consumers respond when learning of AI failures? In 13 preregistered studies (N = 3,724) across a range of policy areas, the authors show that algorithmic failures are generalized more broadly than human failures. This effect is termed “algorithmic transference” as it is an inferential process that generalizes (i.e., transfers) information about one member of a group to another member of that same group. Rather than reflecting generalized algorithm aversion, algorithmic transference is rooted in social categorization: it stems from how people perceive a group of AI systems versus a group of humans. Because AI systems are perceived as more homogeneous than people, failure information about one AI algorithm is transferred to another algorithm to a greater extent than failure information about a person is transferred to another person. Capturing AI's impact on consumers and societies, these results show how the premature or mismanaged deployment of faulty AI technologies may undermine the very institutions that AI systems are meant to modernize. © American Marketing Association 2022.",16,10.1177/00222437221110139,"This paper examines consumer responses to failures in AI systems across various public service areas, introducing the concept of ""algorithmic transference,"" where failures of one AI system are generalized to others. It utilizes a series of preregistered studies to analyze how perceptions of AI versus human failures differ. The focus on the implications of AI failures on consumer trust and institutional integrity aligns it with economic outcomes. Class: A",A,1614,81,stop,fp_0ba0d124f1
"Why do biased algorithmic predictions arise, and what interventions can prevent them? We examine this topic with a field experiment about using machine learning to predict human capital. We randomly assign approximately 400 AI engineers to develop software under different experimental conditions to predict standardized test scores of OECD residents. We then assess the resulting predictive algorithms using the realized test performances, and through randomized audit-like manipulations of algorithmic inputs. We also used the diversity of our subject population to measure whether demographically non-traditional engineers were more likely to notice and reduce algorithmic bias, and whether algorithmic prediction errors are correlated within programmer demographic groups. This document describes our experimental design and motivation; the full results of our experiment are available at https://ssrn.com/abstract=3615404. © 2020 Owner/Author.",16,10.1145/3391403.3399545,This paper investigates the origins of biased algorithmic predictions and explores interventions to mitigate them through a field experiment involving AI engineers. It assesses the performance of predictive algorithms and examines the influence of demographic diversity among engineers on bias detection and reduction. The focus on understanding and analyzing algorithmic bias within a social context aligns it with economic implications. Class: A,A,1512,68,stop,fp_0ba0d124f1
